endTime,artistName,trackName,msPlayed
2024-12-07 01:12,21 Savage,Runnin,195906
2024-12-07 01:14,Gunna,one of wun,144000
2024-12-07 01:18,Drake,Teenage Fever,219692
2024-12-07 01:21,"Tyler, The Creator",See You Again (feat. Kali Uchis),180386
2024-12-07 01:23,Lil Uzi Vert,Just Wanna Rock,123890
2024-12-07 01:26,Joyner Lucas,I Love,210064
2024-12-07 01:30,Future,Mask Off,204600
2024-12-07 01:35,Kendrick Lamar,wacced out murals,317092
2024-12-07 01:39,Lil Baby,Drip Too Hard (Lil Baby & Gunna),145542
2024-12-07 01:41,Lil Baby,Insecurities,127154
2024-12-07 02:37,Wiz Khalifa,Hopeless Romantic (feat. Swae Lee),240
2024-12-07 02:37,Omah Lay,reason,18533
2024-12-07 02:41,Wiz Khalifa,Hopeless Romantic (feat. Swae Lee),226742
2024-12-07 03:34,Wiz Khalifa,Hopeless Romantic (feat. Swae Lee),226742
2024-12-07 03:39,Wiz Khalifa,Hopeless Romantic (feat. Swae Lee),214194
2024-12-07 03:40,Yuno Miles,4 Wheeler,106996
2024-12-07 03:42,Yuno Miles,Martin Luther,75324
2024-12-07 03:43,Yuno Miles,Honey Bun,109968
2024-12-07 03:45,Yuno Miles,Put The Money In The Bag,120369
2024-12-07 03:46,Yuno Miles,Indiana Jones,63564
2024-12-07 03:47,Alex Schor,Intrusive Thoughts,22215
2024-12-07 03:48,David Kushner,Empty Bench,2666
2024-12-07 03:51,Diversify,ITW,240000
2024-12-07 03:54,Juice WRLD,Empty Out Your Pockets,135653
2024-12-07 03:55,Kendrick Lamar,reincarnated,100495
2024-12-07 03:57,David Kushner,Empty Bench,186093
2024-12-07 03:59,ONE OR EIGHT,KAWASAKI (with Big Sean),126935
2024-12-07 04:02,Unlike Pluto,Bleed Me Dry,189750
2024-12-07 04:05,Lil Baby,Touchdown,11397
2024-12-07 04:05,Tomo,'Till The End,174455
2024-12-07 04:09,Hanumankind,Big Dawgs (Remix) [with A$AP Rocky],236666
2024-12-07 06:37,Brandon Lake,Hard Fought Hallelujah (Live),219196
2024-12-07 06:40,Julia Alexa,bathroom floor,170000
2024-12-07 06:42,Julia Alexa,i want to live forever when i die,144887
2024-12-07 06:45,Belfa,wish i could hate u,138411
2024-12-07 06:48,Julia Alexa,trust issues,176842
2024-12-07 06:50,Rnla,hate me,162352
2024-12-07 06:53,Julia Alexa,i don't think love is real,145559
2024-12-07 06:55,Julia Alexa,cause of death,148000
2024-12-07 06:57,the bootleg boy,when the clouds disappear,137151
2024-12-07 07:00,Julia Alexa,poison myself,120942
2024-12-07 07:02,Julia Alexa,losing myself,139296
2024-12-07 07:05,SEA,i'm so broken,160302
2024-12-07 07:07,Julia Alexa,it hasn't killed me yet,142095
2024-12-07 07:10,Julia Alexa,prayers,163100
2024-12-07 07:12,Rnla,game over,158015
2024-12-07 07:15,Julia Alexa,please hold me,192019
2024-12-07 07:18,Julia Alexa,i don't care anymore,137015
2024-12-07 07:20,Belfa,mess,156908
2024-12-07 07:23,Zebatin,Change for You,134000
2024-12-07 07:25,Julia Alexa,if u can take my pain away,161906
2024-12-07 07:28,Rnla,Feel Again,144000
2024-12-07 07:30,Julia Alexa,used to,121074
2024-12-07 07:30,Julia Alexa,used to,28140
2024-12-07 07:33,Julia Alexa,bathroom floor,170000
2024-12-07 07:35,Julia Alexa,my religion,138750
2024-12-07 07:38,Julia Alexa,i want to live forever when i die,144887
2024-12-07 07:40,Belfa,wish i could hate u,138411
2024-12-07 07:43,Julia Alexa,trust issues,176842
2024-12-07 07:46,Rnla,hate me,162352
2024-12-07 07:48,Julia Alexa,i don't think love is real,145559
2024-12-07 07:51,Julia Alexa,cause of death,148000
2024-12-07 07:53,the bootleg boy,when the clouds disappear,137151
2024-12-07 07:55,Julia Alexa,poison myself,120942
2024-12-07 07:57,Julia Alexa,losing myself,139296
2024-12-07 08:00,SEA,i'm so broken,160302
2024-12-07 08:02,Julia Alexa,it hasn't killed me yet,142095
2024-12-07 08:05,Julia Alexa,prayers,163100
2024-12-07 08:08,Rnla,game over,158015
2024-12-07 08:11,Julia Alexa,please hold me,192019
2024-12-07 08:13,Julia Alexa,i don't care anymore,137015
2024-12-07 08:16,Belfa,mess,156908
2024-12-07 08:18,Zebatin,Change for You,134000
2024-12-07 08:21,Julia Alexa,if u can take my pain away,161906
2024-12-07 08:24,Julia Alexa,i cried my eyes out for you,176767
2024-12-07 08:26,Rnla,Heartless,127058
2024-12-07 08:29,Julia Alexa,death row,176230
2024-12-07 08:32,Julia Alexa,break a broken heart,170144
2024-12-07 08:35,Julia Alexa,i'm sry i love u,195655
2024-12-07 08:37,Julia Alexa,i remember,138181
2024-12-07 08:40,Belfa,nothing's real,154906
2024-12-07 08:42,Addict.,done fighting,145192
2024-12-07 08:45,Julia Alexa,close to ur heart,162562
2024-12-07 08:48,Snøw,If I Die,201463
2024-12-07 08:53,Josiah MacCartney,no one cares anymore,253815
2024-12-07 08:55,Julia Alexa,nothing left to lose,157027
2024-12-07 08:58,Rewind,hung up on you,164605
2024-12-07 09:00,Rnla,like everybody else,128264
2024-12-07 09:03,Julia Alexa,happy eyes :(,144073
2024-12-07 09:05,Lonely Music,I'm done feeling this way,131578
2024-12-07 09:08,Ufo361,BLADES,189806
2024-12-07 09:10,Belfa,don't be scared,142416
2024-12-07 18:33,Rotimi,In My Bed,185461
2024-12-07 18:36,melvitto,Stay (feat. Gabzy),171928
2024-12-07 18:38,Rnla,Forget U,43907
2024-12-07 18:39,Chop Daily,Down,158000
2024-12-07 18:46,Victony,Kolomental,197000
2024-12-07 18:48,Darkoo,Favourite Girl,132220
2024-12-07 18:52,Oxlade,KU LO SA - A COLORS SHOW,147580
2024-12-07 18:52,Aya Nakamura,Djadja,28259
2024-12-07 18:54,Young Jonn,Aquafina,105430
2024-12-07 18:55,melvitto,Trouble,47100
2024-12-07 18:55,Llona,Cold War (with FAVE),1860
2024-12-07 18:58,Omah Lay,Holy Ghost,186153
2024-12-07 19:01,melvitto,Gentility,40878
2024-12-07 19:03,Eminem,Tobey (feat. Big Sean and BabyTron),840
2024-12-07 19:03,JID,Dance Now (feat. Kenny Mason),139500
2024-12-07 19:04,Nasty C,One Time,6880
2024-12-07 19:04,Kendrick Lamar,reincarnated,38840
2024-12-07 19:04,Nasty C,Black And White,3970
2024-12-07 19:04,Nasty C,Life Of The Party,10800
2024-12-07 19:05,Nasty C,SMA,3650
2024-12-07 19:07,Dax,40 Days 40 Nights,176460
2024-12-07 19:13,Nasty C,SMA,314150
2024-12-07 19:32,Nasty C,One Time,7139
2024-12-07 19:35,指尖笑,不问别离 - 变调版,163265
2024-12-07 19:38,指尖笑,人间惊鸿宴,207330
2024-12-07 19:41,指尖笑,旧梦一场,182165
2024-12-07 19:45,指尖笑,再回眸,199626
2024-12-07 19:46,指尖笑,九重楼,46565
2024-12-07 20:37,指尖笑,不问别离 - 变调版,20032
2024-12-07 20:41,NF,HOPE,264473
2024-12-07 20:45,NF,MOTTO,217271
2024-12-07 20:48,NF,CAREFUL,209500
2024-12-07 20:52,NF,MAMA,208213
2024-12-07 20:55,NF,PANDEMONIUM,21418
2024-12-07 20:55,NF,HAPPY,172714
2024-12-07 20:59,NF,TRUST,227925
2024-12-07 21:00,Falling In Reverse,Ronald,56021
2024-12-07 21:03,Tech N9ne,Caribou Lou (Album Version (Explicit)),0
2024-12-07 21:03,Tech N9ne,Face Off,219802
2024-12-07 21:04,Tech N9ne,Like I Ain't,1941
2024-12-07 21:08,Tech N9ne,Caribou Lou (Album Version (Explicit)),271813
2024-12-07 21:42,Tech N9ne,Like I Ain't,146664
2024-12-07 21:44,指尖笑,不问别离 - 变调版,163265
2024-12-07 21:45,指尖笑,人间惊鸿宴,33014
2024-12-07 21:47,Davido,Funds (feat. ODUMODUBLVCK & Chike),148500
2024-12-07 21:47,Juice WRLD,Empty Out Your Pockets,1190
2024-12-07 21:50,David Kushner,Empty Bench,186093
2024-12-07 21:51,Jared Benjamin,Evergreen,14886
2024-12-07 21:54,Hanumankind,Big Dawgs (Remix) [with A$AP Rocky],155520
2024-12-07 22:06,Imagine Dragons,Enemy with JID (Opening Title Version) (from the series Arcane League of Legends),186133
2024-12-07 22:07,Dan Gibson's Solitudes,Mountain Grandeur,79306
2024-12-07 22:11,David Kushner,Empty Bench,0
2024-12-07 22:11,David Kushner,Empty Bench,186093
2024-12-07 22:14,David Kushner,No High,182171
2024-12-07 22:17,David Kushner,Poison,182414
2024-12-07 22:21,David Kushner,Skin and Bones,214632
2024-12-07 22:25,David Kushner,Hero,206218
2024-12-07 22:28,David Kushner,You and Me,180465
2024-12-07 22:30,David Kushner,Love Is Going To Kill Us,176208
2024-12-07 23:36,David Kushner,Dead Man,274870
2024-12-07 23:44,David Kushner,Flesh x Blood,174295
2024-12-07 23:46,David Kushner,Sweet Oblivion,135198
2024-12-07 23:50,David Kushner,Buried at Sea,224161
2024-12-07 23:53,David Kushner,Humankind,183288
2024-12-07 23:55,David Kushner,Heaven Sees,5360
2024-12-07 23:55,David Kushner,Universe,152645
2024-12-07 23:56,David Kushner,California Nights,16780
2024-12-08 00:03,指尖笑,不问别离 - 变调版,219775
2024-12-08 00:06,DJ Snake,Let Me Love You,205946
2024-12-08 00:09,nimino,I Only Smoke When I Drink,168968
2024-12-08 00:10,Unknown Artist,Unknown Track,0
2024-12-08 00:10,Nelly,Hot In Herre,61260
2024-12-08 00:10,Unknown Artist,Unknown Track,3213
2024-12-08 00:14,Juice WRLD,Lucid Dreams,228708
2024-12-08 00:16,XXXTENTACION,SAD!,133731
2024-12-08 00:16,Juice WRLD,All Girls Are The Same,16299
2024-12-08 00:19,XXXTENTACION,Moonlight,127512
2024-12-08 00:19,XXXTENTACION,Everybody Dies In Their Nightmares,53819
2024-12-08 00:20,Unknown Artist,Unknown Track,15307
2024-12-08 01:48,Lil Wayne,Mona Lisa (feat. Kendrick Lamar),149967
2024-12-08 01:49,林達浪,还是会想你,13845
2024-12-08 01:49,指尖笑,不问别离 - 变调版,96341
2024-12-08 01:52,林達浪,还是会想你,176890
2024-12-08 01:56,张紫豪,可不可以,240901
2024-12-08 01:59,刀酱,5:20AM,161280
2024-12-08 02:03,闻人听書_,美人画卷,208333
2024-12-08 02:05,KnowKnow,OK了 - Vroom,151765
2024-12-08 02:09,Jia Jia,命運,227487
2024-12-08 02:12,不是花火呀,Ring Ring Ring,198673
2024-12-08 02:16,Ryan.B,No Reason,215497
2024-12-08 02:20,WeiBird,"如果可以 - 電影""月老""主題曲",274400
2024-12-08 02:26,WeiBird,女孩,306293
2024-12-08 02:29,CORSAK,驰 Timelapse,193680
2024-12-08 02:33,三叔说,海市蜃楼,232000
2024-12-08 02:36,JJ Lin,加油!,225628
2024-12-08 02:41,马跃展,秋殇别恋,297694
2024-12-08 02:45,半吨兄弟,扛过枪 放过羊（Kang Kang Kang） - DJ伟然版,232500
2024-12-08 02:50,姚六一,雾里,252105
2024-12-08 02:54,盛哲,在你的身邊,262251
2024-12-08 02:57,闻人听書_,虞兮叹,209999
2024-12-08 03:01,王子健,舍离去,185396
2024-12-08 03:05,Tank,Thousand Years Tear,260306
2024-12-08 03:09,陈亦洺,作罢,228900
2024-12-08 03:12,卢卢快闭嘴,梦里花,206273
2024-12-08 03:16,隊長,予你,231349
2024-12-08 03:20,G.E.M.,倒數,229333
2024-12-08 03:23,dollcatcher,Super Idol 热爱105°C的你 - Full House Ver.,193820
2024-12-08 04:32,Fei Yu-ching,一翦梅,88173
